sim_id,ok,error,runtime_s,qwinj_rate,qo_rate_high,qo_rate_low,k_mult,phi_mult,p_init,pb_shift,fpr_min_psi,fpr_max_psi,fpr_range_psi
30,True,,25.64066662499681,2707.743161549095,1966.4443533598828,131.09629022399218,1.2226453270432573,1.038635608215507,4473.216444476767,125.04800134585048,2208.4296875,4665.81201171875,2457.38232421875
31,True,,26.825229415902868,4974.85569966271,1304.9765517707967,86.99843678471979,1.1264289389810684,0.7710394499072012,4192.125837626358,286.4018007309288,2163.15771484375,4389.02001953125,2225.8623046875
32,True,,23.298229082953185,2123.2797791393245,907.066443092147,60.47109620614313,1.9214435452855931,1.0836168399210306,3961.7771786582557,47.49738293196884,3077.38037109375,4170.6787109375,1093.29833984375
33,True,,24.270856500021182,6830.887387049218,995.0875502241818,66.33917001494545,1.5024961111927306,0.9260404047249259,3928.0721672544632,-271.93349308905687,2519.84033203125,4132.625,1612.78466796875
34,True,,26.20745241595432,2677.6710451348,2170.979693594407,144.73197957296046,1.107491092243726,1.1853817615040494,4461.62568466327,-243.48530399808263,2249.009521484375,4653.69970703125,2404.690185546875
35,True,,27.164516165968962,6561.686275544958,2057.1136301118213,137.14090867412142,1.4513516509500923,0.9574156728144476,3646.6145364569074,-274.8707797948488,1907.819091796875,3834.67724609375,1926.858154296875
36,True,,28.954798708087765,7388.601902568793,2116.200739254693,141.0800492836462,1.4968782212269782,0.7736883033521319,4267.412124697761,-252.17125262759512,1716.5245361328125,4444.8759765625,2728.3514404296875
37,True,,23.592661416972987,2429.094505373483,1291.8563070547552,86.12375380365035,0.5169217044901332,1.2906892439695412,3690.6521259301917,-263.67370048641,2783.27685546875,3897.3388671875,1114.06201171875
38,True,,24.059276500018314,8783.668657070994,1096.2409499988366,73.08272999992244,1.0592966934032308,0.8183167777357055,4081.873855189585,-272.7481521507446,2251.393310546875,4281.99853515625,2030.605224609375
39,True,,30.14183562505059,5742.205259024928,2240.3144951802715,149.35429967868475,1.9380612889579012,0.7242395373052979,4058.6955054442324,-88.76459331214843,1550.185546875,4231.5078125,2681.322265625
40,True,,20.886194291058928,7842.953650288551,983.6365064618691,65.57576709745794,1.3023472294638059,1.2494469147272258,3851.172170323985,-21.936688969023123,3037.10693359375,4060.719970703125,1023.613037109375
41,True,,21.815651207929477,8750.61236424035,891.4290802320105,59.4286053488007,1.800954560751772,1.1247063366408687,4245.028768738543,383.1282782575274,3382.97412109375,4455.48779296875,1072.513671875
42,True,,29.84124104201328,5153.877678641498,1854.450177668646,123.63001184457639,1.723586868996832,1.1476692616358624,4009.2586265679606,-226.12494419539402,2070.718994140625,4204.99072265625,2134.271728515625
43,True,,23.481087415944785,4531.193207008639,1337.2602625266472,89.15068416844315,0.6346298528767929,0.7464616511562628,4169.804765808468,12.251025044158268,2378.87548828125,4364.0810546875,1985.20556640625
44,True,,22.648420292069204,3075.2128277643096,844.9927180538372,56.33284787025581,0.7926863616385046,1.0411418288222412,4368.673194443463,76.05321858603799,3116.067626953125,4577.9541015625,1461.886474609375
45,True,,23.280112541047856,3266.7473673507448,1155.5611883426427,77.03741255617618,0.5563713161012807,0.801771385987297,4200.540897514161,246.9386622691094,2683.28271484375,4401.52685546875,1718.244140625
46,True,,23.498266541049816,4636.400494893451,1800.5424406574205,120.0361627104947,1.4838238699995383,1.1708450123768959,4437.780232753217,-131.84871544083768,2221.814697265625,4634.99609375,2413.181396484375
47,True,,20.71070883399807,6381.926896893565,1052.8008774143118,70.18672516095413,1.7008754310107752,1.0706733451033499,4296.205243789087,364.19017490404883,3058.98046875,4503.79296875,1444.8125
48,True,,22.93538720801007,5656.279895837021,985.444805626166,65.69632037507773,0.8771037363349792,0.7645899931444962,4415.499125773989,255.882676276099,2574.481201171875,4617.98193359375,2043.500732421875
49,True,,22.293546083034016,6832.029965224314,872.0962872541396,58.13975248360931,1.0539134382650976,1.0208854625698005,4337.488603018148,-286.5126450780598,2807.1279296875,4545.5537109375,1738.42578125
50,True,,22.568084041005932,4435.305430296146,885.868587803159,59.057905853543936,0.8388934368751737,0.9627049394055023,4418.54047773671,-35.18312433860933,2916.544189453125,4625.890625,1709.346435546875
51,True,,24.50789120804984,8397.480090108935,1283.7167491383134,85.58111660922089,0.5670008150559055,1.1389312779546465,4148.586197249379,-179.09430906708388,2744.355224609375,4352.54150390625,1608.186279296875
52,True,,24.858147209044546,6365.493441244044,1242.4666900818736,82.8311126721249,0.9762018441702354,1.1819022454679033,4457.662598736555,304.6058310123408,2964.135009765625,4663.94482421875,1699.809814453125
53,True,,25.350220749969594,7395.41249565759,1560.7150382561326,104.04766921707551,0.7742131556464649,0.8924404713720709,3979.787827534228,170.99737627942545,2423.308837890625,4177.08984375,1753.781005859375
54,True,,23.565285208052956,5043.318227663323,1092.968403993172,72.86456026621146,1.5828601692690145,0.8013238249676289,4405.004537797689,-168.4674946744663,2174.490966796875,4605.04736328125,2430.556396484375
